Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2017-10-25,4771.34,4947.0,4650.0,4929.01,1917.25684535,9181478.79709,4788.86218055
2017-10-24,5030.69,5030.69,4690.02,4771.32,2549.40524424,12425445.0404,4873.86031252
2017-10-23,5096.85,5174.9,4860.28,5030.69,2079.08797597,10443657.2676,5023.1916053
2017-10-22,5148.85,5190.15,4908.17,5096.87,1616.58327295,8151837.12472,5042.63359712
2017-10-21,5074.22,5318.0,5013.0,5148.85,1836.62043783,9537072.21368,5192.72900227
2017-10-20,4822.37,5199.0,4796.95,5074.22,2371.51968537,11823714.6022,4985.71218917
2017-10-19,4775.96,4851.0,4730.01,4822.37,1331.09234602,6406231.20399,4812.76240761
2017-10-18,4800.46,4805.44,4351.0,4775.96,2962.93824366,13623374.1374,4597.92713079
2017-10-17,4885.99,4898.0,4752.5,4800.5,1482.48377574,7145096.4012,4819.67932339
2017-10-16,4791.59,4888.0,4702.33,4885.99,1537.21618931,7420452.17491,4827.20142197
2017-10-15,4899.0,4908.99,4607.81,4791.59,1556.35828362,7352586.91648,4724.2251311
2017-10-14,4773.42,4912.25,4701.01,4899.0,1057.63522448,5084381.28796,4807.31084809
2017-10-13,4570.0,4950.0,4463.0,4774.0,3842.85203891,18274748.6451,4755.51711596
2017-10-12,4087.09,4570.0,4082.12,4570.0,3026.71925059,13233246.5015,4372.14204752
2017-10-11,4045.16,4127.29,4002.7,4087.09,1178.62216071,4816035.10725,4086.15692781
2017-10-10,4082.31,4168.5,4006.03,4045.17,1775.48249288,7297685.36489,4110.25475844
2017-10-09,3893.03,4147.99,3864.0,4082.3,2262.19236766,9074291.11207,4011.2818175
2017-10-08,3754.99,3899.0,3740.51,3893.03,1024.72469255,3934152.35146,3839.22860458
2017-10-07,3724.81,3769.0,3705.0,3755.0,453.75770031,1691034.26344,3726.7340307
2017-10-06,3694.01,3779.98,3694.0,3724.81,852.02015627,3189832.56563,3743.84636578
2017-10-05,3622.85,3738.0,3565.85,3694.01,1017.72577219,3724678.92588,3659.80603779
2017-10-04,3713.92,3764.73,3565.85,3622.9,1240.5406395,4522811.54029,3645.83907715
2017-10-03,3809.84,3814.99,3631.0,3713.93,1465.14502874,5426394.60146,3703.65697253
2017-10-02,3711.62,3859.0,3700.18,3809.82,1595.22434702,6057408.69393,3797.21429481
2017-10-01,3675.29,3714.99,3640.92,3711.63,658.46125118,2426015.87037,3684.37150406
2017-09-30,3545.58,3725.0,3540.0,3675.29,955.34428873,3498451.52371,3661.97983804
2017-09-29,3568.03,3617.43,3400.0,3545.59,1358.62408657,4803999.40943,3535.92981084
2017-09-28,3594.75,3680.0,3500.01,3568.44,1532.13922138,5517712.32073,3601.31262468
2017-09-27,3299.01,3648.0,3293.38,3594.86,2058.157374,7213673.02686,3504.91809712
2017-09-26,3322.72,3390.0,3300.0,3300.0,1146.81149569,3834275.572,3343.42268665
