Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2017-10-03,3359.14,3385.82,3234.47,3307.57,201.66711077,663243.668545,3288.80433707
2017-10-02,3330.82,3416.15,3313.01,3358.38,237.03726239,797682.36,3365.21925691
2017-10-01,3283.0,3334.5,3215.52,3330.82,162.53471206,531294.997157,3268.80941568
2017-09-30,3150.31,3318.28,3126.14,3283.0,170.92634835,554567.341697,3244.48130467
2017-09-29,3166.37,3192.11,3038.88,3150.09,203.18131084,637080.271992,3135.52594655
2017-09-28,3186.99,3242.25,3100.73,3166.24,206.62623512,655079.563028,3170.3600593
2017-09-27,2933.8,3203.42,2930.17,3181.92,266.2706738,825464.507335,3100.09546134
2017-09-26,2980.94,3015.07,2933.0,2933.0,194.76013457,579680.617697,2976.38230214
2017-09-25,2759.57,2999.0,2757.68,2979.46,198.26467168,577828.537085,2914.43015132
2017-09-24,2846.0,2846.0,2730.2,2757.29,136.00147288,376800.562142,2770.5623635
2017-09-23,2752.08,2872.25,2725.01,2846.0,168.00072585,473554.262827,2818.7631954
2017-09-22,2682.07,2800.0,2635.77,2752.11,363.85791193,988206.778226,2715.91394834
2017-09-21,2915.0,2950.0,2648.19,2683.99,373.54369827,1036530.19626,2774.85659927
2017-09-20,2912.0,3006.39,2856.31,2934.96,189.0587327,557378.740217,2948.17770254
2017-09-19,3057.88,3074.07,2840.44,2915.75,222.95587991,658000.559863,2951.25905685
2017-09-18,2759.86,3080.82,2759.86,3060.82,398.48915888,1184305.80891,2971.99003414
2017-09-17,2762.74,2848.89,2564.35,2758.48,253.17372086,690978.566815,2729.26654657
2017-09-16,2772.53,2998.62,2645.09,2763.0,368.92110351,1038267.88569,2814.33584529
2017-09-15,2438.54,3200.0,2198.03,2772.56,1272.65426294,3241128.98808,2546.74744152
2017-09-14,2941.36,2988.5,2415.87,2434.68,974.20492656,2562104.88808,2629.94449959
2017-09-13,3153.42,3158.58,2822.0,2948.01,625.65725849,1849061.45426,2955.39039812
